volcano name,last eruption year,country,latitude,longitude,elevation
Domuyo,Unknown,Argentina,-36.638,-70.432,4702
Dubbi,1861,Eritrea,13.579,41.809,1625
Dukono,2020,Indonesia,1.693,127.894,1229
Durango Volcanic Field,Unknown,Mexico,24.15,-104.45,2075
Dzenzursky,Unknown,Russia,53.637,158.922,2285
East Diamante,Unknown,United States,15.93,145.67,-127
Easter Island,Unknown,Chile,-27.15,-109.38,511
Ebeko,2020,Russia,50.686,156.014,1103
"Eburru, Ol Doinyo",Unknown,Kenya,-0.65,36.22,2856
Ecuador,1150,Ecuador,-0.02,-91.546,790
Edgecumbe,-2220,United States,57.05,-135.75,970
Edziza,950,Canada,57.72,-130.63,2786
Elbrus,50,Russia,43.351,42.442,5642
Elovsky,-7550,Russia,57.55,160.53,1381
Emmons Lake,Unknown,United States,55.341,-162.073,1436
Emuruangogolak,1910,Kenya,1.5,36.33,1285
Endeavour Segment,-3490,Canada,47.95,-129.1,-2050
Epi,2004,Vanuatu,-16.68,168.37,833
Erciyes Dagi,-6880,Turkey,38.531,35.447,3864
Erebus,2020,Antarctica,-77.53,167.17,3794
Erta Ale,2020,Ethiopia,13.6,40.67,613
Esan,1874,Japan,41.805,141.166,618
Esjufjoll,Unknown,Iceland,64.25,-16.583,1620
Esteli,Unknown,Nicaragua,13.17,-86.4,899
Etna,2020,Italy,37.748,14.999,3295
Etorofu-Atosanupuri [Atosanupuri],1932,Japan - administered by Russia,44.808,147.131,1206
Etorofu-Yakeyama [Grozny Group],2013,Japan - administered by Russia,45.012,147.871,1158
Eyjafjallajokull,2010,Iceland,63.633,-19.633,1651
Farallon de Pajaros,1967,United States,20.546,144.893,337
Fayal,1958,Portugal,38.6,-28.73,1043
Fentale,1820,Ethiopia,8.975,39.93,2007
Fisher,1830,United States,54.65,-164.43,1112
Flores,Unknown,Guatemala,14.308,-89.992,1600
Flores,-950,Portugal,39.462,-31.216,914
Fogo,2015,Cape Verde,14.95,-24.35,2829
Fort Portal,-2120,Uganda,0.7,30.25,1615
Fort Selkirk,Unknown,Canada,62.93,-137.38,1239
"Fournaise, Piton de la",2020,France,-21.244,55.708,2632
Fremrinamar,-1200,Iceland,65.416,-16.666,970
Frosty,Unknown,United States,55.067,-162.835,1728
Fuego,2020,Guatemala,14.473,-90.88,3763
Fuerteventura,Unknown,Spain,28.358,-14.02,529
Fujisan,1708,Japan,35.361,138.728,3776
Fukue,-400,Japan,32.657,128.849,315
Furnas,1630,Portugal,37.77,-25.32,805
Gabillema,Unknown,Ethiopia,11.08,41.27,1459
Gada Ale,Unknown,Ethiopia,13.975,40.408,287
Galapagos Rift,1996,Undersea Features,0.792,-86.15,-2430
Galeras,2014,Colombia,1.22,-77.37,4276
Gallego,Unknown,Solomon Islands,-9.35,159.73,1000
Galunggung,1984,Indonesia,-7.25,108.058,2168
Gamalama,2018,Indonesia,0.8,127.33,1715
Gamchen,-550,Russia,54.974,160.703,2539
Gamkonora,2007,Indonesia,1.38,127.53,1635
Garibaldi,-8060,Canada,49.85,-123,2678
Garibaldi Lake,Unknown,Canada,49.933,-123,2316
Garove,Unknown,Papua New Guinea,-4.687,149.511,368
Garua Harbour,Unknown,Papua New Guinea,-5.3,150.07,565
Gaua,2011,Vanuatu,-14.27,167.5,797
Gedamsa,Unknown,Ethiopia,8.357,39.188,1873
Gede-Pangrango,1957,Indonesia,-6.77,106.965,3008
Genovesa,Unknown,Ecuador,0.32,-89.958,64
Ghegham Volcanic Ridge,-1900,Armenia,40.283,45,3597
Glacier Peak,1700,United States,48.112,-121.113,3213
"Gloria, La",Unknown,Mexico,19.33,-97.25,3500
