volcano name,last eruption year,country,latitude,longitude,elevation
Newberry,690,United States,43.722,-121.229,2434
Newer Volcanics Province,-2900,Australia,-37.77,142.5,1011
Ngozi,1450,Tanzania,-8.989,33.554,2614
Niigata-Yakeyama,1998,Japan,36.921,138.036,2400
Niijima,886,Japan,34.397,139.27,432
Nikko-Shiranesan,1952,Japan,36.799,139.376,2578
Niseko,-4900,Japan,42.875,140.659,1308
Nishihitokappuyama [Bogatyr Ridge],Unknown,Japan - administered by Russia,44.833,147.342,1634
Nisyros,1888,Greece,36.586,27.16,698
Niuafo'ou,1985,Tonga,-15.6,-175.63,260
Norikuradake,-50,Japan,36.106,137.554,3026
North Vate,Unknown,Vanuatu,-17.47,168.353,594
Northern EPR at 9.8°N,2006,Undersea Features,9.83,-104.3,-2500
Numazawa,-3400,Japan,37.444,139.566,835
NW Eifuku,Unknown,United States,21.485,144.043,-1535
NW Rota-1,2010,United States,14.601,144.775,-517
Nyambeni Hills,Unknown,Kenya,0.23,37.87,750
Nyamuragira,2020,DR Congo,-1.408,29.2,3058
Nyiragongo,2020,DR Congo,-1.52,29.25,3470
Nylgimelkin,-3550,Russia,57.97,160.65,1764
O'a Caldera,Unknown,Ethiopia,7.47,38.58,2075
Ofu-Olosega,1866,United States,-14.175,-169.618,639
"Ojos del Salado, Nevados",750,Chile-Argentina,-27.109,-68.541,6879
Okataina,1981,New Zealand,-38.12,176.5,1111
Oki-Dogo,Unknown,Japan,36.176,133.334,151
Okmok,2008,United States,53.43,-168.13,1073
Oku Volcanic Field,Unknown,Cameroon,6.25,10.5,3011
Ol Kokwe,Unknown,Kenya,0.62,36.075,1130
Olca-Paruma,Unknown,Chile-Bolivia,-20.939,-68.413,5705
Olkaria,1770,Kenya,-0.904,36.292,2434
Olkoviy Volcanic Group,Unknown,Russia,52.02,157.53,681
Olot Volcanic Field,Unknown,Spain,42.17,2.53,893
Omanago Group,-3050,Japan,36.795,139.507,2341
Ontakesan,2014,Japan,35.893,137.48,3067
Opala,1776,Russia,52.543,157.339,2439
Oraefajokull,1728,Iceland,64.05,-16.633,2010
"Orizaba, Pico de",1846,Mexico,19.03,-97.27,5564
Orosi,Unknown,Costa Rica,10.98,-85.473,1659
Oshima-Oshima,1790,Japan,41.51,139.367,732
Osorezan,1787,Japan,41.279,141.12,878
Osorno,1869,Chile,-41.105,-72.496,2659
Ostanets,Unknown,Russia,52.146,157.322,719
Otdelniy,Unknown,Russia,52.221,157.435,814
Pacaya,2020,Guatemala,14.382,-90.601,2569
Pagan,2012,United States,18.13,145.8,570
Paka,-7550,Kenya,0.92,36.18,1697
Pali-Aike Volcanic Field,-5550,Chile-Argentina,-52.082,-69.698,282
Palomo,Unknown,Chile,-34.608,-70.295,4860
Paluweh,2013,Indonesia,-8.32,121.708,875
Pampa Luxsar,Unknown,Bolivia,-20.85,-68.2,5543
Panarea,Unknown,Italy,38.638,15.064,399
Pantelleria,1891,Italy,36.77,12.02,836
Papandayan,2002,Indonesia,-7.32,107.73,2665
Papayo,Unknown,Mexico,19.308,-98.7,3600
Parinacota,290,Chile-Bolivia,-18.166,-69.142,6336
Patuha,Unknown,Indonesia,-7.162,107.4,2422
Pavlof,2016,United States,55.417,-161.894,2493
Payun Matru,-5050,Argentina,-36.422,-69.241,3715
Pelee,1932,France,14.809,-61.165,1394
Penanggungan,Unknown,Indonesia,-7.616,112.62,1631
Penguin Island,1905,Antarctica,-62.1,-57.93,180
Perbakti-Gagak,1939,Indonesia,-6.75,106.7,1699
Peuet Sague,2000,Indonesia,4.903,96.289,2785
Pico,1720,Portugal,38.47,-28.4,2351
Picos Volcanic System,1652,Portugal,37.78,-25.67,350
"Pilas, Las",1954,Nicaragua,12.495,-86.688,1088
Pinacate,Unknown,Mexico,31.772,-113.498,1200
Pinatubo,1993,Philippines,15.13,120.35,1486
Planchon-Peteroa,2019,Chile,-35.223,-70.568,3977
"Plat Pays, Morne",1270,Dominica,15.255,-61.341,940
Platanar,Unknown,Costa Rica,10.3,-84.366,2267
"Pleiades, The",-1050,Antarctica,-72.67,165.5,3040
Poas,2019,Costa Rica,10.2,-84.233,2708
Pocdol Mountains,Unknown,Philippines,13.05,123.958,1102
Pogranychny,Unknown,Russia,56.85,159.8,1427
Popa,-442,Burma (Myanmar),20.92,95.25,1518
Popocatepetl,2020,Mexico,19.023,-98.622,5393
Porak,-778,Armenia-Azerbaijan,40.028,45.74,3029
"Possession, Ile de la",Unknown,France,-46.42,51.75,934
Prestahnukur,-3350,Iceland,64.583,-20.666,1385
Prince Edward Island,Unknown,South Africa,-46.63,37.95,672
Protector Seamounts,1962,United Kingdom,-55.912,-28.167,-55
Pular,Unknown,Chile,-24.188,-68.054,6233
Pululahua,290,Ecuador,0.038,-78.463,3356
Puntiagudo-Cordon Cenizos,1850,Chile,-40.969,-72.264,2493
Purace,1977,Colombia,2.32,-76.4,4650
Purico Complex,Unknown,Chile,-23,-67.75,5703
Puyehue-Cordon Caulle,2012,Chile,-40.59,-72.117,2236
Qualibou,1766,Saint Lucia,13.83,-61.05,777
Quetrupillan,255,Chile,-39.496,-71.722,2360
"Quill, The",250,Netherlands,17.478,-62.96,601
Quimsachata,-4450,Peru,-14.176,-71.351,3693
Rabaul,2014,Papua New Guinea,-4.271,152.203,688
"Rahat, Harrat",1256,Saudi Arabia,23.08,39.78,1744
Rainier,1450,United States,46.853,-121.76,4392
Ranakah,1991,Indonesia,-8.62,120.52,2350
Ranau,Unknown,Indonesia,-4.871,103.925,1854
Raoul Island,2006,New Zealand,-29.27,-177.92,516
Rasshua,1957,Russia,47.77,153.02,956
Raung,2015,Indonesia,-8.119,114.056,3260
Raususan [Mendeleev],1880,Japan - administered by Russia,43.979,145.733,882
Recheschnoi,Unknown,United States,53.157,-168.539,1984
Reclus,1908,Chile,-50.964,-73.585,1000
Red Hill,-9450,United States,34.25,-108.83,2300
Reporoa,1180,New Zealand,-38.42,176.33,592
Reventador,2020,Ecuador,-0.077,-77.656,3562
Reykjanes,1831,Iceland,63.85,-22.566,140
Rincon de la Vieja,2020,Costa Rica,10.83,-85.324,1916
Rinjani,2016,Indonesia,-8.42,116.47,3726
Rota,Unknown,Nicaragua,12.55,-86.75,832
Royal Society Range,Unknown,Antarctica,-78.25,163.33,3000
Ruapehu,2007,New Zealand,-39.28,175.57,2797
Rucharuyama [Golets-Tornyi Group],Unknown,Japan - administered by Russia,45.25,148.35,442
"Ruiz, Nevado del",2020,Colombia,4.892,-75.324,5279
Rumble III,2008,New Zealand,-35.745,178.478,-220
Rungwe,1250,Tanzania,-9.135,33.668,2953
Ruruidake [Smirnov],Unknown,Japan - administered by Russia,44.454,146.139,1486
Saba,1640,Netherlands,17.63,-63.23,887
Sabancaya,2020,Peru,-15.787,-71.857,5960
Sairecabur,Unknown,Chile-Bolivia,-22.72,-67.892,5971
Salak,1938,Indonesia,-6.72,106.73,2211
Salton Buttes,210,United States,33.197,-115.616,-40
Samsari Volcanic Center,Unknown,Georgia,41.542,43.7,3290
San Borja Volcanic Field,Unknown,Mexico,28.5,-113.75,1360
San Cristobal,2019,Nicaragua,12.702,-87.004,1745
San Cristobal,Unknown,Ecuador,-0.88,-89.5,759
San Diego,Unknown,El Salvador-Guatemala,14.27,-89.48,781
San Francisco Volcanic Field,1075,United States,35.347,-111.678,3850
San Jose,1960,Chile-Argentina,-33.789,-69.895,6070
"San Luis, Isla",Unknown,Mexico,29.97,-114.4,180
San Martin,1796,Mexico,18.57,-95.2,1650
San Pablo Volcanic Field,1350,Philippines,14.12,121.3,1090
San Pedro-Pellado,Unknown,Chile,-35.989,-70.849,3621
San Pedro-San Pablo,1960,Chile,-21.888,-68.391,6142
San Quintin Volcanic Field,Unknown,Mexico,30.468,-115.996,260
San Salvador,1917,El Salvador,13.734,-89.294,1893
San Vicente,Unknown,El Salvador,13.595,-88.837,2182
Sanbesan,650,Japan,35.141,132.622,1126
Sand Mountain Field,-950,United States,44.38,-121.93,1664
Sangay,2020,Ecuador,-2.005,-78.341,5286
Sangeang Api,2020,Indonesia,-8.2,119.07,1912
"Sano, Wai",Unknown,Indonesia,-8.724,119.986,1319
Santa Ana,2005,El Salvador,13.853,-89.63,2381
Santa Cruz,Unknown,Ecuador,-0.62,-90.33,864
Santa Isabel,-850,Colombia,4.818,-75.365,4944
Santa Maria,2020,Guatemala,14.757,-91.552,3745
Santiago,1906,Ecuador,-0.22,-90.77,920
"Santiago, Cerro",Unknown,Guatemala,14.33,-89.87,1192
Santorini,1950,Greece,36.404,25.396,367
Sarik-Gajah,Unknown,Indonesia,0.074,100.189,737
Sarychev Peak,2019,Russia,48.092,153.2,1496
Sashiusudake [Baransky],1951,Japan - administered by Russia,45.1,148.019,1125
Saunders,2020,United Kingdom,-57.8,-26.483,843
Savai'i,1911,Samoa,-13.612,-172.525,1858
Savo,1847,Solomon Islands,-9.13,159.82,485
"Sawad, Harra Es-",1253,Yemen,13.58,46.12,1737
Seal Nunataks Group,Unknown,Antarctica,-65.03,-60.05,368
Seguam,1993,United States,52.315,-172.51,1054
Sekincau Belirang,Unknown,Indonesia,-5.107,104.317,1717
Semeru,2020,Indonesia,-8.108,112.922,3657
Semisopochnoi,2020,United States,51.93,179.58,1221
Serdan-Oriental,Unknown,Mexico,19.27,-97.47,3485
Serua,1921,Indonesia,-6.312,130.017,608
Sete Cidades,1880,Portugal,37.87,-25.78,856
Seulawah Agam,1839,Indonesia,5.448,95.658,1810
Severny,-1550,Russia,58.28,160.87,1936
Shasta,1250,United States,41.409,-122.193,4317
Sheveluch,2020,Russia,56.653,161.36,3283
Shiga,Unknown,Japan,36.688,138.519,2041
Shikotsu,1979,Japan,42.688,141.38,1320
Shiretoko-Iozan,1936,Japan,44.133,145.161,1562
Shishaldin,2020,United States,54.756,-163.97,2857
Sibualbuali,Unknown,Indonesia,1.556,99.255,1819
Silali,-5050,Kenya,1.15,36.23,1528
Silay,Unknown,Philippines,10.77,123.23,1510
Silverthrone,Unknown,Canada,51.43,-126.3,3160
Simbo,1910,Solomon Islands,-8.292,156.52,335
Sinabung,2019,Indonesia,3.17,98.392,2460
Singkut,1881,Indonesia,3.248,98.501,2181
"Singuil, Cerro",Unknown,El Salvador,14.054,-89.631,926
Siple,Unknown,Antarctica,-73.43,-126.67,3110
Sirung,2015,Indonesia,-8.508,124.13,862
Slamet,2014,Indonesia,-7.242,109.208,3428
Snezhniy,Unknown,Russia,58.02,160.8,2169
Socorro,1994,Mexico,18.78,-110.95,1050
Soda Lakes,Unknown,United States,39.53,-118.87,1251
Sollipulli,1240,Chile,-38.97,-71.52,2282
Soputan,2020,Indonesia,1.112,124.737,1785
Sorikmarapi,1986,Indonesia,0.686,99.539,2145
Soufriere Guadeloupe,1977,France,16.044,-61.664,1467
Soufriere Hills,2013,United Kingdom,16.72,-62.18,915
Soufriere St. Vincent,1979,Saint Vincent and the Grenadines,13.33,-61.18,1220
Southern Thule,1975,United Kingdom,-59.442,-27.225,1075
Spectrum Range,Unknown,Canada,57.43,-130.68,2430
Spurr,1992,United States,61.299,-152.251,3374
St. Andrew Strait,1957,Papua New Guinea,-2.38,147.35,270
St. Catherine,Unknown,Grenada,12.15,-61.67,840
St. Helens,2008,United States,46.2,-122.18,2549
St. Michael,Unknown,United States,63.45,-162.12,715
St. Paul Island,-1280,United States,57.18,-170.3,203
Stromboli,2020,Italy,38.789,15.213,924
Suchitan,Unknown,Guatemala,14.4,-89.78,2042
Sulu Range,Unknown,Papua New Guinea,-5.5,150.942,610
Sumaco,1895,Ecuador,-0.538,-77.626,3990
Sumbing,1921,Indonesia,-2.414,101.728,2507
Sumbing,1730,Indonesia,-7.384,110.07,3371
Sumisujima,1916,Japan,31.44,140.051,136
Sundoro,1971,Indonesia,-7.3,109.992,3136
Suretamatai,1966,Vanuatu,-13.8,167.47,921
Suswa,Unknown,Kenya,-1.151,36.357,2356
Suwanosejima,2020,Japan,29.638,129.714,796
Taal,2020,Philippines,14.002,120.993,311
Taapaca,-320,Chile,-18.1,-69.5,5860
Taburete,Unknown,El Salvador,13.435,-88.532,1172
Tacana,1986,Mexico-Guatemala,15.132,-92.109,4064
Tacora,Unknown,Chile-Peru,-17.72,-69.77,5980
Tafu-Maka,2008,Tonga,-15.37,-174.23,-1400
Tahual,Unknown,Guatemala,14.43,-89.9,1716
"Tair, Jebel at",2008,Yemen,15.55,41.83,244
Taisetsuzan,1739,Japan,43.664,142.854,2291
Takaharayama,-4570,Japan,36.9,139.777,1795
Takahe,-5550,Antarctica,-76.28,-112.08,3460
Talagabodas,Unknown,Indonesia,-7.208,108.07,2201
Talakmau,Unknown,Indonesia,0.079,99.98,2919
Talang,2007,Indonesia,-0.979,100.681,2575
Tambora,1967,Indonesia,-8.25,118,2850
Tanaga,1914,United States,51.885,-178.146,1806
Tandikat-Singgalang,1924,Indonesia,-0.39,100.331,2854
Tangkoko-Duasudara,1880,Indonesia,1.518,125.185,1334
Tangkuban Parahu,2019,Indonesia,-6.77,107.6,2084
Tao-Rusyr Caldera,1952,Russia,49.35,154.7,1325
Tarakan,Unknown,Indonesia,1.83,127.83,318
Taranaki,1800,New Zealand,-39.3,174.07,2518
Taryatu-Chulutu,-2980,Mongolia,48.133,99.95,2326
Tatun Volcanic Group,648,Taiwan,25.178,121.553,1120
Ta'u,Unknown,United States,-14.23,-169.454,931
Taupo,260,New Zealand,-38.82,176,760
Taveuni,1550,Fiji,-16.82,-179.97,1241
Tecapa,Unknown,El Salvador,13.494,-88.502,1593
Tecuamburro,-960,Guatemala,14.156,-90.407,1845
Telica,2018,Nicaragua,12.606,-86.84,1036
Telomoyo,Unknown,Indonesia,-7.362,110.4,1864
"Telong, Bur ni",1937,Indonesia,4.769,96.821,2617
Tenduruk Dagi,1855,Turkey,39.356,43.874,3514
Tenerife,1909,Spain,28.271,-16.641,3715
Tengchong,-5750,China,25.23,98.5,2865
Tengger Caldera,2019,Indonesia,-7.942,112.95,2329
Tenorio,Unknown,Costa Rica,10.673,-85.015,1916
Tepi,Unknown,Ethiopia,7.42,35.43,2728
Terceira,2000,Portugal,38.73,-27.32,1023
Theistareykir,-900,Iceland,65.833,-17.166,540
Three Sisters,440,United States,44.133,-121.767,3159
Tidore,Unknown,Indonesia,0.658,127.4,1730
"Tigre, El",Unknown,El Salvador,13.47,-88.43,1640
"Tigre, Isla el",Unknown,Honduras,13.272,-87.641,783
Tilocalar,Unknown,Chile,-23.97,-68.13,3109
Tinakula,2020,Solomon Islands,-10.386,165.804,796
Tindfjallajokull,Unknown,Iceland,63.783,-19.716,1464
Tinguiririca,1917,Chile,-34.814,-70.352,4280
Titila,-550,Russia,57.406,160.108,1523
Tjornes Fracture Zone,1868,Iceland,66.309,-17.118,-75
Tlevak Strait-Suemez Is.,Unknown,United States,55.25,-133.3,50
Toba,Unknown,Indonesia,2.58,98.83,2157
Todoko-Ranu,Unknown,Indonesia,1.25,127.47,979
Todra Volcanic Field,Unknown,Niger,17.68,8.5,1780
Tofua,2014,Tonga,-19.75,-175.07,515
"Toh, Tarso",Unknown,Chad,21.33,16.33,2000
Tokachidake,2004,Japan,43.418,142.686,2077
Tolbachik,2013,Russia,55.832,160.326,3611
Tolhuaca,-4000,Chile,-38.31,-71.645,2739
"Tolima, Nevado del",1943,Colombia,4.658,-75.33,5215
Toliman,Unknown,Guatemala,14.612,-91.189,3158
"Toluca, Nevado de",-1350,Mexico,19.108,-99.758,4680
Tomariyama [Golovnin],1848,Japan - administered by Russia,43.844,145.504,535
Tombel Graben,Unknown,Cameroon,4.758,9.717,500
Tondano Caldera,Unknown,Indonesia,1.23,124.83,1202
Toney Mountain,Unknown,Antarctica,-75.8,-115.83,3595
Tongariro,2012,New Zealand,-39.157,175.632,1978
Torfajokull,1477,Iceland,63.892,-19.122,1280
Toshima,-4550,Japan,34.52,139.279,508
"Tousside, Tarso",Unknown,Chad,21.03,16.45,3265
Towada,915,Japan,40.51,140.88,1011
Toya,2001,Japan,42.544,140.839,733
Traitor's Head,1881,Vanuatu,-18.754,169.238,817
Tralihue,Unknown,Argentina,-38.509,-70.898,2448
Trident,1974,United States,58.236,-155.1,1864
Tristan da Cunha,1962,United Kingdom,-37.092,-12.28,2060
"Trois Pitons, Morne",920,Dominica,15.37,-61.33,1387
Trolon,Unknown,Argentina,-37.738,-70.906,2360
Tromen,1822,Argentina,-37.144,-70.033,4114
Tronador,Unknown,Chile-Argentina,-41.157,-71.885,3478
Tullu Moje,1900,Ethiopia,8.159,39.137,2343
Tungnafellsjokull,Unknown,Iceland,64.75,-17.916,1523
Tunkin Depression,Unknown,Russia,51.5,102.5,1200
Tupungatito,1987,Chile-Argentina,-33.425,-69.797,5660
Turrialba,2019,Costa Rica,10.025,-83.767,3340
Tutuila,440,United States,-14.295,-170.7,653
Tutupaca,1802,Peru,-17.026,-70.372,5801
Tuya Volcanic Field,Unknown,Canada,59.37,-130.58,2123
Tuzgle,Unknown,Argentina,-24.05,-66.48,5486
Tuzovsky,Unknown,Russia,57.32,159.967,1516
Ubehebe Craters,-150,United States,37.02,-117.45,752
Udina,Unknown,Russia,55.758,160.527,2886
Udokan Plateau,-220,Russia,56.28,117.77,2180
Ugashik-Peulik,1814,United States,57.751,-156.368,1474
Uinkaret Field,1100,United States,36.38,-113.13,1555
Ukinrek Maars,1977,United States,57.832,-156.51,91
Uksichan,Unknown,Russia,56.08,158.38,1692
Ulreung,-2990,South Korea,37.5,130.87,984
Umboi,Unknown,Papua New Guinea,-5.589,147.875,1548
Ungaran,Unknown,Indonesia,-7.18,110.33,2050
Unzendake,1996,Japan,32.761,130.299,1483
Upolu,Unknown,Samoa,-13.935,-171.72,1100
Uratman,Unknown,Russia,47.12,152.25,678
Ushkovsky,1890,Russia,56.113,160.509,3943
Usulutan,Unknown,El Salvador,13.419,-88.471,1449
Utila Island,Unknown,Honduras,16.12,-86.882,74
"Uwayrid, Harrat",640,Saudi Arabia,27.08,37.25,1920
Uzon,200,Russia,54.5,159.97,1617
Vailulu'u,2003,United States,-14.215,-169.058,-592
Vaiyots-Sar,-2000,Armenia,39.797,45.497,2575
Vakinankaratra,Unknown,Madagascar,-19.85,46.942,2644
"Valle, El",Unknown,Panama,8.58,-80.17,1185
Vernadskii Ridge,Unknown,Russia,50.55,155.97,1183
Vestmannaeyjar,1973,Iceland,63.416,-20.266,283
Vesuvius,1944,Italy,40.821,14.426,1281
Victory,1935,Papua New Guinea,-9.2,149.07,1925
Villarrica,2020,Chile,-39.42,-71.93,2847
Vilyuchik,-8050,Russia,52.7,158.28,2173
Visoke,1957,DR Congo-Rwanda,-1.458,29.485,3696
Visokiy,Unknown,Russia,52.43,157.93,1234
Vitim Volcanic Field,Unknown,Russia,53.75,113.25,1250
"Voon, Tarso",Unknown,Chad,20.92,17.28,3100
Voyampolsky,Unknown,Russia,58.374,160.631,1103
Vulcano,1890,Italy,38.404,14.962,500
Vulsini,-104,Italy,42.6,11.93,800
Vysoky,-550,Russia,55.064,160.765,2129
Waesche,Unknown,Antarctica,-77.17,-126.88,3292
Wallis Islands,Unknown,France,-13.3,-176.17,143
Wapi Lava Field,-300,United States,42.88,-113.22,1604
Washiba-Kumonotaira,Unknown,Japan,36.408,137.594,2924
"Watt, Morne",1997,Dominica,15.307,-61.305,1224
Wells Gray-Clearwater,1550,Canada,52.33,-120.57,2576
West Crater,-5750,United States,45.88,-122.08,1329
West Eifel Volcanic Field,-8300,Germany,50.17,6.85,600
West Mata,2009,Tonga,-15.1,-173.75,-1174
Westdahl,1992,United States,54.516,-164.65,1563
Whakaari/White Island,2019,New Zealand,-37.52,177.18,294
Whangarei,Unknown,New Zealand,-35.75,174.27,397
Wilis,Unknown,Indonesia,-7.808,111.758,2563
Witori,2012,Papua New Guinea,-5.576,150.516,724
Wrangell,1912,United States,62.006,-144.017,4278
Wudalianchi,1776,China,48.72,126.12,597
Yakedake,1995,Japan,36.227,137.587,2455
"Yar, Jabal",1810,Saudi Arabia,17.05,42.83,305
Yasur,2020,Vanuatu,-19.532,169.447,361
Yavinsky,-4050,Russia,51.533,156.629,646
Yellowstone,-1350,United States,44.43,-110.67,2805
"Yojoa, Lake",Unknown,Honduras,14.98,-87.98,1090
Yokoate-jima,1835,Japan,28.797,128.997,495
Yokodake,1200,Japan,36.087,138.32,2480
Yonemaru-Sumiyoshiike,-6200,Japan,31.771,130.592,40
Yoteizan,-1050,Japan,42.827,140.812,1888
Yucamane,-1320,Peru,-17.184,-70.196,5495
Yufu-Tsurumi,867,Japan,33.282,131.39,1584
Yunaska,1937,United States,52.643,-170.629,550
"Zacate Grande, Isla",Unknown,Honduras,13.33,-87.63,640
Zaozan [Zaosan],1940,Japan,38.144,140.44,1841
Zaozerny,Unknown,Russia,56.88,159.95,1349
Zapatera,Unknown,Nicaragua,11.73,-85.82,629
Zavaritsky,-800,Russia,53.905,158.385,1567
Zavodovski,2016,United Kingdom,-56.3,-27.57,551
Zimina,Unknown,Russia,55.862,160.603,3057
Zitacuaro-Valle de Bravo,-3050,Mexico,19.4,-100.25,3500
Zubair Group,2013,Yemen,15.05,42.18,191
Zukur,Unknown,Yemen,14.02,42.75,624
Zuni-Bandera,-1170,United States,34.8,-108,2550
